0,1,2,3,4,5,6,7,8,9,10,11
State,District,Year,Wheat,Wheat,Wheat,,,,,,
State,District,Year,Rabi,Rabi,Rabi,,,,,,
State,District,Year,Area (Hectare),Production  (Tonnes),Yield  (Tonne/Hectare),,,,,,
1. Punjab,9. Hoshiarpur,2020 - 2021,141900.00,588000.00,4.14,,,,,,
1. Punjab,9. Hoshiarpur,2021 - 2022,142200.00,515000.00,3.62,,,,,,
1. Punjab,9. Hoshiarpur,2022 - 2023,141700.00,570800.00,4.03,,,,,,
1. Punjab,10. Jalandhar,1997  - 1998,157000.00,563000.00,3.59,,,,,,
1. Punjab,10. Jalandhar,1998 - 1999,162000.00,748000.00,4.62,,,,,,
1. Punjab,10. Jalandhar,1999 - 2000,163000.00,803000.00,4.93,,,,,,
1. Punjab,10. Jalandhar,2000 - 2001,167000.00,773000.00,4.63,,,,,,
1. Punjab,10. Jalandhar,2001 - 2002,167000.00,785000.00,4.7,,,,,,
1. Punjab,10. Jalandhar,2002 - 2003,167000.00,715000.00,4.28,,,,,,
1. Punjab,10. Jalandhar,2003 - 2004,169000.00,747000.00,4.42,,,,,,
1. Punjab,10. Jalandhar,2004 - 2005,171000.00,734000.00,4.29,,,,,,
1. Punjab,10. Jalandhar,2005 - 2006,170000.00,764000.00,4.49,,,,,,
1. Punjab,10. Jalandhar,2006 - 2007,165000.00,692000.00,4.19,,,,,,
1. Punjab,10. Jalandhar,2007 - 2008,167000.00,741000.00,4.44,,,,,,
1. Punjab,10. Jalandhar,2008 - 2009,171000.00,708000.00,4.14,,,,,,
1. Punjab,10. Jalandhar,2009 - 2010,170000.00,735000.00,4.32,,,,,,
1. Punjab,10. Jalandhar,2010 - 2011,169000.00,793000.00,4.69,,,,,,
1. Punjab,10. Jalandhar,2011 - 2012,171000.00,866000.00,5.06,,,,,,
1. Punjab,10. Jalandhar,2012 - 2013,169000.00,773000.00,4.57,,,,,,
1. Punjab,10. Jalandhar,2013 - 2014,169000.00,837000.00,4.95,,,,,,
1. Punjab,10. Jalandhar,2014 - 2015,167000.00,685000.00,4.1,,,,,,
1. Punjab,10. Jalandhar,2015 - 2016,171000.00,762000.00,4.46,,,,,,
1. Punjab,10. Jalandhar,2016 - 2017,167000.00,809000.00,4.84,,,,,,
1. Punjab,10. Jalandhar,2017 - 2018,170000.00,861000.00,5.06,,,,,,
1. Punjab,10. Jalandhar,2018 - 2019,170000.00,845000.00,4.97,,,,,,
1. Punjab,10. Jalandhar,2019 - 2020,173000.00,870000.00,5.03,,,,,,
1. Punjab,10. Jalandhar,2020 - 2021,172400.00,845000.00,4.9,,,,,,
1. Punjab,10. Jalandhar,2021 - 2022,173300.00,732000.00,4.22,,,,,,
1. Punjab,10. Jalandhar,2022 - 2023,173400.00,754300.00,4.35,,,,,,
1. Punjab,11. Kapurthala,1997  - 1998,102000.00,348000.00,3.41,,,,,,
1. Punjab,11. Kapurthala,1998 - 1999,238000.00,990000.00,4.16,,,,,,
1. Punjab,11. Kapurthala,1999 - 2000,111000.00,523000.00,4.71,,,,,,
1. Punjab,11. Kapurthala,2000 - 2001,111000.00,493000.00,4.44,,,,,,
1. Punjab,11. Kapurthala,2001 - 2002,114000.00,538000.00,4.72,,,,,,
1. Punjab,11. Kapurthala,2002 - 2003,112000.00,445000.00,3.97,,,,,,
1. Punjab,11. Kapurthala,2003 - 2004,112000.00,496000.00,4.43,,,,,,
1. Punjab,11. Kapurthala,2004 - 2005,115000.00,460000.00,4,,,,,,
1. Punjab,11. Kapurthala,2005 - 2006,111000.00,483000.00,4.35,,,,,,
1. Punjab,11. Kapurthala,2006 - 2007,109000.00,444000.00,4.07,,,,,,
1. Punjab,11. Kapurthala,2007 - 2008,111000.00,506000.00,4.56,,,,,,
1. Punjab,11. Kapurthala,2008 - 2009,111000.00,472000.00,4.25,,,,,,
1. Punjab,11. Kapurthala,2009 - 2010,111000.00,457000.00,4.12,,,,,,
1. Punjab,11. Kapurthala,2010 - 2011,108000.00,480000.00,4.44,,,,,,
1. Punjab,11. Kapurthala,2011 - 2012,110000.00,542000.00,4.93,,,,,,
1. Punjab,11. Kapurthala,2012 - 2013,110000.00,510000.00,4.64,,,,,,
1. Punjab,11. Kapurthala,2013 - 2014,111000.00,548000.00,4.94,,,,,,
1. Punjab,11. Kapurthala,2014 - 2015,110000.00,429000.00,3.9,,,,,,
1. Punjab,11. Kapurthala,2015 - 2016,110000.00,469000.00,4.26,,,,,,
1. Punjab,11. Kapurthala,2016 - 2017,106000.00,522000.00,4.92,,,,,,
1. Punjab,11. Kapurthala,2017 - 2018,108000.00,523000.00,4.84,,,,,,
1. Punjab,11. Kapurthala,2018 - 2019,109000.00,516000.00,4.73,,,,,,
1. Punjab,11. Kapurthala,2019 - 2020,109000.00,507000.00,4.65,,,,,,
1. Punjab,11. Kapurthala,2020 - 2021,105200.00,486000.00,4.62,,,,,,
1. Punjab,11. Kapurthala,2021 - 2022,110000.00,439000.00,3.99,,,,,,
